species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year
Adelie,Torgersen,40.3,18,195,3250,female,2007
Adelie,Torgersen,41.1,17.6,182,3200,female,2007
Adelie,Torgersen,42.5,20.7,197,4500,male,2007
Adelie,Torgersen,34.4,18.4,184,3325,female,2007
Adelie,Biscoe,35.3,18.9,187,3800,female,2007
Adelie,Dream,38.8,20,190,3950,male,2007
Adelie,Dream,39.8,19.1,184,4650,male,2007
Adelie,Dream,40.8,18.4,195,3900,male,2007
Adelie,Dream,44.1,19.7,196,4400,male,2007
Adelie,Dream,39.6,18.8,190,4600,male,2007
Adelie,Dream,42.3,21.2,191,4150,male,2007
Adelie,Biscoe,41.4,18.6,191,3700,male,2008
Adelie,Biscoe,39,17.5,186,3550,female,2008
Adelie,Torgersen,40.9,16.8,191,3700,female,2008
Adelie,Torgersen,36.2,16.1,187,3550,female,2008
Adelie,Dream,36.3,19.5,190,3800,male,2008
Adelie,Dream,38.9,18.8,190,3600,female,2008
Adelie,Dream,35.7,18,202,3550,female,2008
Adelie,Dream,39.6,18.1,186,4450,male,2008
Adelie,Dream,36.2,17.3,187,3300,female,2008
Adelie,Biscoe,38.6,17.2,199,3750,female,2009
Adelie,Biscoe,38.1,16.5,198,3825,female,2009
Adelie,Biscoe,45.6,20.3,191,4600,male,2009
Adelie,Biscoe,42.2,19.5,197,4275,male,2009
Adelie,Dream,36.8,18.5,193,3500,female,2009
Adelie,Dream,32.1,15.5,188,3050,female,2009
Adelie,Dream,40.7,17,190,3725,male,2009
Gentoo,Biscoe,50,16.3,230,5700,male,2007
Gentoo,Biscoe,50,15.2,218,5700,male,2007
Gentoo,Biscoe,46.5,13.5,210,4550,female,2007
Gentoo,Biscoe,40.9,13.7,214,4650,female,2007
Gentoo,Biscoe,46.2,14.5,209,4800,female,2007
Gentoo,Biscoe,45.1,14.5,215,5000,female,2007
Gentoo,Biscoe,49.6,16,225,5700,male,2008
Gentoo,Biscoe,50.5,15.9,222,5550,male,2008
Gentoo,Biscoe,46.5,14.4,217,4900,female,2008
Gentoo,Biscoe,45.3,13.8,208,4200,female,2008
Gentoo,Biscoe,45.7,13.9,214,4400,female,2008
Gentoo,Biscoe,49.5,16.2,229,5800,male,2008
Gentoo,Biscoe,48.2,15.6,221,5100,male,2008
Gentoo,Biscoe,45.2,16.4,223,5950,male,2008
Gentoo,Biscoe,44.9,13.8,212,4750,female,2009
Gentoo,Biscoe,52.2,17.1,228,5400,male,2009
Gentoo,Biscoe,51.1,16.5,225,5250,male,2009
Gentoo,Biscoe,41.7,14.7,210,4700,female,2009
Gentoo,Biscoe,45.2,14.8,212,5200,female,2009
Chinstrap,Dream,50,19.5,196,3900,male,2007
Chinstrap,Dream,51.3,19.2,193,3650,male,2007
Chinstrap,Dream,46,18.9,195,4150,female,2007
Chinstrap,Dream,47,17.3,185,3700,female,2007
Chinstrap,Dream,45.9,17.1,190,3575,female,2007
Chinstrap,Dream,58,17.8,181,3700,female,2007
Chinstrap,Dream,49.2,18.2,195,4400,male,2007
Chinstrap,Dream,46.4,17.8,191,3700,female,2008
Chinstrap,Dream,50.9,19.1,196,3550,male,2008
Chinstrap,Dream,45.5,17,196,3500,female,2008
Chinstrap,Dream,50.8,18.5,201,4450,male,2009
Chinstrap,Dream,46.8,16.5,189,3650,female,2009
Chinstrap,Dream,55.8,19.8,207,4000,male,2009
